Customer_ID,Account_Type,Age,Gender,Region,Income,Balance,Credit_Score,Loan_Amount,Loan_Status,Transactions_Last_Month,Online_Banking,Mobile_App_Usage,Card_Holder,Cards_Count,Overdraft,Investment_Account,Insurance_Policies,Branch_Visits_Last_Year,Complaints_Last_Year,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40
CUST_00001,Business,68,Male,West,39600.61,14877.46,809,27578.43,Rejected,4,0,1,1,4,1,0,2,16,1,80.48,122.03,169.47,65.96,84.19,117.93,61.19,186.91,44.91,104.82,114.73,138.4,165.84,-16.4,37.18,153.63,33.62,50.32,72.4,37.18
CUST_00002,Loan,57,Male,South,71789.11,37092.29,693,13279.94,Rejected,14,0,1,1,1,1,0,3,8,1,19.8,38.77,183.28,82.27,71.4,109.23,112.08,95.31,39.83,72.38,81.62,119.4,66.84,121.48,18.85,133.21,83.68,85.12,149.63,128.72
CUST_00003,Savings,24,Male,South,33268.3,25090.72,739,9914.2,Approved,45,1,1,0,0,0,1,0,4,0,98.93,120.71,160.3,20.65,68.63,67.49,147.72,23.37,83.55,59.32,129.89,116.54,55.35,104.02,94.92,54.42,103.72,128.19,88.3,115.05
CUST_00004,Business,49,Other,East,78412.74,24792.88,457,24322.84,Rejected,4,0,0,1,2,1,0,0,17,0,92.69,158.56,85.01,67.07,93.25,117.89,22.95,63.19,154.01,69.29,172.09,104.57,76.74,81.02,71.64,190.13,70.83,190.81,27.61,79.43
CUST_00005,Business,65,Male,West,82644.14,1561.47,393,3531.31,Pending,33,0,1,1,1,1,0,1,10,1,117.06,115.74,179.66,28.19,56.53,70.68,84.72,130.95,30.67,81.82,-29.05,94.0,92.17,170.92,108.09,142.0,101.42,137.09,23.61,43.35
CUST_00006,Loan,36,Other,North,73629.6,12842.44,785,17527.4,Pending,38,1,1,0,1,0,1,3,9,0,196.84,103.0,78.69,192.13,86.04,171.76,138.93,132.83,42.94,128.46,81.28,167.85,106.18,97.71,121.7,31.56,70.36,13.32,92.91,52.34
CUST_00007,Savings,23,Female,South,56856.16,19292.96,738,25601.73,Approved,38,0,1,0,1,0,1,1,8,0,120.75,121.31,75.21,111.67,108.05,177.86,82.48,77.06,138.99,132.45,42.22,157.48,37.29,63.47,135.35,86.31,154.62,90.17,98.91,191.79
CUST_00008,Savings,37,Other,South,-947.85,-8117.28,465,19302.48,Pending,45,0,0,1,1,1,1,3,5,1,147.84,38.95,117.51,147.54,171.67,112.87,154.01,12.71,81.39,72.58,97.62,138.12,244.77,79.45,-6.6,92.72,182.82,29.73,146.88,113.83
CUST_00009,Business,44,Female,North,46304.38,29346.68,355,9330.25,Rejected,22,1,1,0,3,0,0,2,12,1,128.85,163.03,98.98,142.73,52.52,149.85,126.96,56.45,182.97,137.09,117.44,82.77,116.73,40.96,88.1,110.65,11.92,112.64,211.11,220.14
CUST_00010,Checking,70,Other,North,85297.6,32803.68,754,4987.66,Pending,46,0,1,0,1,1,1,1,14,0,139.57,94.68,141.14,69.67,61.29,85.3,48.69,125.78,96.56,126.08,69.36,129.86,147.07,198.95,9.61,95.97,43.07,193.15,24.16,110.9
CUST_00011,Business,60,Other,West,68741.13,12058.87,669,26870.73,Rejected,16,1,0,0,0,1,1,1,4,2,128.71,95.22,191.23,39.66,152.21,99.0,154.42,72.92,17.12,90.83,80.06,96.35,152.57,157.94,85.35,1.9,60.55,93.35,91.09,137.9
CUST_00012,Business,54,Male,North,58706.28,39028.03,677,13243.34,Pending,8,0,1,1,4,1,0,2,2,1,117.36,66.25,152.73,51.93,72.57,84.51,121.8,11.51,151.89,126.01,159.03,112.23,143.89,107.17,81.57,50.46,56.25,72.54,71.85,55.38
CUST_00013,Business,65,Other,North,36383.1,38369.52,694,5985.93,Pending,3,1,1,1,2,1,0,4,10,2,180.94,48.25,158.31,82.9,126.93,123.03,109.39,220.47,137.35,146.43,41.97,47.82,159.2,119.23,114.85,100.42,116.56,97.21,110.0,198.06
CUST_00014,Business,24,Male,North,70488.12,27856.39,690,26388.57,Approved,29,0,1,1,0,1,1,1,18,0,151.16,59.54,36.43,121.65,43.24,134.63,168.43,169.45,136.24,146.07,111.6,105.35,133.54,178.97,31.5,59.64,165.41,63.22,69.71,51.64
CUST_00015,Loan,76,Female,East,18540.65,19087.94,651,23010.02,Rejected,47,0,0,1,1,1,0,2,7,1,133.29,59.61,87.32,108.55,196.93,79.21,70.35,27.05,4.05,98.15,148.75,143.79,91.69,156.53,82.65,27.48,44.47,32.31,33.47,96.95
CUST_00016,Savings,22,Female,North,46583.28,34936.34,381,4482.59,Approved,13,0,1,1,4,0,0,2,0,2,102.68,132.73,79.28,93.96,54.2,141.16,77.58,67.22,131.77,212.4,172.17,65.21,122.27,115.07,120.98,115.39,75.99,58.01,-15.41,198.15
CUST_00017,Loan,28,Male,South,84797.59,-2352.39,845,40143.05,Approved,29,1,0,1,1,0,0,2,13,2,39.97,140.67,97.04,72.02,132.92,68.81,122.82,181.62,77.38,98.6,60.37,128.84,155.55,99.45,52.95,20.43,93.3,54.31,35.84,126.29
CUST_00018,Loan,32,Female,West,33912.59,21122.81,362,9594.68,Approved,30,1,1,0,2,0,0,3,12,2,147.62,85.8,165.84,118.08,153.79,70.12,83.65,30.17,170.3,81.05,30.57,93.22,188.33,153.07,181.77,32.06,166.27,149.97,84.71,75.69
CUST_00019,Loan,20,Other,West,62183.79,7336.18,813,22840.49,Approved,0,0,0,1,1,1,0,2,11,2,77.74,136.34,77.29,119.37,162.66,98.43,79.36,140.65,62.87,189.48,134.61,47.02,234.04,108.21,56.19,103.43,118.78,97.2,84.71,109.93
CUST_00020,Business,75,Male,West,14857.52,10058.12,447,34865.84,Rejected,26,0,1,0,3,0,0,2,13,0,147.17,155.27,116.71,25.39,175.17,176.45,73.7,69.47,102.52,141.71,76.32,85.82,124.68,94.38,113.91,55.12,90.35,90.68,71.64,112.51
CUST_00021,Checking,22,Male,East,36955.95,26749.93,818,23882.2,Rejected,1,0,1,1,3,1,1,0,11,1,89.81,172.07,189.97,173.45,130.98,91.61,112.01,51.36,74.17,64.58,109.46,62.59,133.73,93.74,137.83,101.93,96.32,107.41,140.37,-55.94
CUST_00022,Savings,40,Male,South,53589.26,7934.81,607,17591.79,Pending,44,0,1,0,1,0,0,4,18,1,111.2,40.44,134.73,119.75,66.85,129.42,70.92,106.7,68.16,48.45,20.13,93.61,63.81,51.65,-22.75,113.99,134.84,117.12,181.78,117.65
CUST_00023,Checking,70,Female,North,57072.4,-2954.81,804,677.33,Pending,39,1,0,0,4,1,1,1,8,1,105.5,119.19,118.4,73.38,194.36,169.44,107.16,53.63,27.51,114.48,168.18,34.64,149.63,178.76,128.48,106.07,58.81,113.58,74.23,111.84
