col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Home,762,303,Electronics,49,348,Clothing,206,123,Sports,597,518,Books,173,692,Sports,6,880,Electronics,947,695,Home,232,879,Home,842,535,Clothing,614,282,Sports,308,124,Books,245,194,Home,755,351,Books,676,471,Home,511,424,Electronics,511,484,Sports,643
Sports,190,34,Sports,107,99,Clothing,836,775,Electronics,568,104,Sports,592,776,Clothing,734,912,Books,523,115,Books,735,451,Books,370,793,Books,952,867,Electronics,585,448,Electronics,214,980,Clothing,351,528,Clothing,700,696,Books,329,677,Electronics,427,348,Home,603
Books,711,2,Home,93,876,Home,868,69,Books,293,643,Electronics,751,468,Electronics,52,838,Home,618,945,Sports,563,116,Books,38,79,Home,143,391,Home,363,516,Electronics,985,987,Clothing,265,470,Electronics,418,596,Home,781,622,Electronics,964,339,Sports,95
Sports,484,362,Books,636,361,Home,897,111,Clothing,570,95,Books,618,784,Home,479,403,Clothing,539,808,Clothing,89,122,Home,95,718,Clothing,497,24,Electronics,887,545,Clothing,445,693,Sports,866,426,Clothing,620,357,Home,811,240,Clothing,427,313,Electronics,593
Sports,733,195,Home,829,937,Clothing,428,871,Home,9,159,Electronics,369,472,Electronics,120,930,Books,744,9,Home,721,464,Sports,209,245,Books,111,621,Books,522,271,Sports,754,190,Clothing,484,629,Sports,740,845,Clothing,272,143,Electronics,647,784,Sports,44
Clothing,536,606,Electronics,140,875,Books,871,246,Clothing,132,588,Electronics,99,148,Home,807,369,Clothing,764,247,Electronics,10,322,Electronics,265,802,Books,947,685,Sports,162,859,Electronics,247,692,Clothing,193,523,Clothing,106,23,Sports,817,192,Books,109,313,Sports,789
Books,756,840,Sports,909,358,Home,421,983,Home,991,692,Books,78,840,Home,622,593,Books,922,484,Electronics,100,762,Books,782,561,Clothing,235,271,Home,631,933,Sports,67,387,Home,322,847,Sports,584,126,Books,665,849,Sports,392,232,Sports,393
Books,423,308,Home,314,130,Home,673,373,Home,583,136,Electronics,929,285,Books,142,60,Books,128,364,Clothing,951,2,Electronics,645,568,Electronics,989,335,Books,188,431,Books,503,502,Home,514,941,Electronics,434,756,Sports,31,960,Books,258,969,Electronics,902
Books,836,647,Electronics,11,519,Books,149,924,Sports,909,235,Sports,186,787,Electronics,369,319,Electronics,338,198,Sports,675,122,Home,660,632,Electronics,797,890,Electronics,532,382,Sports,155,122,Clothing,675,530,Home,784,859,Clothing,572,706,Sports,976,179,Home,341
Sports,640,716,Clothing,448,383,Clothing,88,98,Sports,191,602,Sports,393,948,Home,813,956,Sports,785,363,Home,327,47,Sports,940,252,Sports,353,492,Electronics,894,61,Books,899,292,Books,690,400,Sports,222,860,Home,334,325,Sports,807,141,Books,87
Home,605,250,Home,927,617,Electronics,506,793,Clothing,104,763,Books,915,938,Clothing,494,49,Sports,938,11,Books,783,560,Sports,160,659,Clothing,308,664,Home,5,240,Books,750,635,Books,563,828,Electronics,603,2,Clothing,397,950,Sports,354,991,Books,314
Books,812,147,Clothing,395,921,Home,168,322,Sports,247,282,Electronics,122,217,Home,730,331,Home,944,994,Sports,139,482,Books,784,622,Sports,418,811,Books,579,46,Sports,89,504,Clothing,966,326,Home,763,295,Clothing,47,310,Home,509,110,Clothing,316
Sports,133,346,Clothing,505,819,Electronics,189,819,Clothing,831,399,Electronics,670,549,Books,602,605,Sports,801,679,Books,290,347,Home,667,865,Books,834,1,Home,793,575,Sports,586,72,Sports,253,751,Sports,861,622,Sports,764,396,Clothing,661,890,Books,81
Clothing,55,348,Electronics,378,562,Electronics,114,713,Sports,61,461,Clothing,714,579,Electronics,763,483,Home,487,518,Home,10,249,Clothing,277,208,Electronics,957,529,Electronics,340,235,Electronics,894,319,Home,804,892,Electronics,651,61,Electronics,153,443,Electronics,901,299,Sports,984
Home,989,254,Books,361,736,Books,13,674,Sports,420,184,Home,191,127,Home,429,60,Home,887,764,Electronics,324,666,Books,801,918,Home,746,561,Home,270,564,Books,607,683,Clothing,636,71,Electronics,523,496,Clothing,212,706,Books,764,970,Home,1
Clothing,510,399,Sports,683,64,Clothing,881,509,Home,264,598,Books,437,659,Sports,124,540,Books,61,228,Electronics,392,779,Electronics,409,591,Electronics,109,535,Clothing,385,923,Books,453,239,Clothing,242,17,Electronics,323,709,Electronics,315,78,Clothing,242,324,Electronics,596
Home,670,334,Electronics,548,396,Electronics,994,942,Books,602,122,Electronics,907,564,Sports,394,589,Home,618,624,Electronics,273,427,Home,759,778,Books,947,612,Clothing,584,785,Home,485,79,Electronics,989,150,Electronics,452,743,Electronics,277,250,Electronics,374,801,Clothing,92
Sports,541,176,Home,642,181,Clothing,678,943,Sports,795,895,Books,154,575,Home,903,644,Clothing,497,323,Electronics,369,534,Electronics,554,774,Home,415,620,Clothing,616,697,Electronics,75,120,Books,374,858,Clothing,957,706,Sports,372,664,Clothing,510,327,Sports,216
Electronics,410,125,Sports,855,587,Sports,157,376,Sports,496,318,Clothing,922,354,Electronics,784,180,Clothing,541,668,Clothing,989,451,Clothing,340,64,Clothing,903,241,Home,147,58,Clothing,330,763,Electronics,402,65,Electronics,325,535,Home,714,99,Clothing,915,58,Home,397
Home,211,763,Books,573,778,Clothing,181,672,Clothing,922,141,Books,910,391,Books,270,592,Books,63,710,Sports,671,714,Clothing,259,385,Electronics,639,339,Home,79,31,Electronics,974,170,Electronics,515,228,Home,844,479,Home,786,857,Home,431,275,Sports,212
Clothing,666,398,Electronics,932,189,Books,320,893,Home,45,558,Sports,912,567,Clothing,105,310,Electronics,549,832,Home,289,364,Books,7,398,Clothing,719,533,Electronics,950,692,Electronics,785,88,Electronics,810,487,Sports,829,23,Sports,396,309,Sports,75,324,Books,66
Sports,293,131,Books,846,183,Books,292,140,Home,938,182,Electronics,295,9,Electronics,381,162,Books,440,136,Sports,922,417,Electronics,969,294,Books,27,371,Clothing,744,399,Electronics,183,63,Sports,75,857,Sports,731,480,Electronics,816,511,Sports,314,410,Sports,520
