Sale_ID,Brand,Model,Country,Storage,Color,Price_USD,Units_Sold,Revenue_USD,Customer_Rating,Payment_Method,Sale_Month,Sale_Year
1,Realme,Realme Model 2,UK,512GB,Gold,656,20,13120,3.7,Installments,11,2025
2,Vivo,Vivo Model 20,Australia,512GB,Blue,1013,9,9117,3.7,Debit Card,2,2025
3,Motorola,Motorola Model 12,Germany,512GB,White,1471,7,10297,3.1,Credit Card,2,2025
4,Vivo,Vivo Model 13,USA,512GB,Gold,1220,19,23180,3.6,Debit Card,6,2025
5,Vivo,Vivo Model 15,UAE,128GB,Silver,375,8,3000,4.4,Online Payment,1,2025
6,Xiaomi,Xiaomi Model 5,France,128GB,Blue,1129,15,16935,3.8,Installments,11,2025
7,Motorola,Motorola Model 12,Australia,128GB,Green,1161,20,23220,3.2,Installments,8,2025
8,Huawei,Huawei Model 17,India,256GB,Gold,417,12,5004,4.2,Credit Card,2,2025
9,Samsung,Samsung Model 10,Germany,128GB,Gold,495,4,1980,3.5,Debit Card,3,2025
10,Huawei,Huawei Model 6,UK,512GB,Gold,921,2,1842,4.8,Cash,3,2025
11,Realme,Realme Model 18,France,512GB,Green,930,3,2790,3.3,Cash,9,2025
12,Xiaomi,Xiaomi Model 7,UAE,64GB,Silver,953,14,13342,3.1,Cash,10,2025
13,Samsung,Samsung Model 14,France,64GB,Silver,541,15,8115,3.7,Credit Card,12,2025
14,Realme,Realme Model 6,UAE,512GB,White,476,20,9520,4.1,Debit Card,9,2025
15,Xiaomi,Xiaomi Model 5,Australia,256GB,Blue,1084,15,16260,3.9,Cash,6,2025
16,Samsung,Samsung Model 9,Australia,256GB,Blue,985,18,17730,3.6,Credit Card,7,2025
17,Xiaomi,Xiaomi Model 15,Australia,64GB,Green,695,4,2780,4.8,Online Payment,5,2025
18,OnePlus,OnePlus Model 14,Canada,128GB,Gold,1072,5,5360,4.6,Installments,12,2025
19,Oppo,Oppo Model 8,Saudi Arabia,512GB,White,1156,15,17340,3.1,Online Payment,7,2025
20,Huawei,Huawei Model 14,France,64GB,Blue,1474,10,14740,4.4,Cash,12,2025
21,Oppo,Oppo Model 12,India,512GB,Black,460,14,6440,4.8,Installments,2,2025
